site_id,date,temperature,temperature_max,temperature_min,precipitation,humidity,wind_speed,solar_radiation,temperature_range,vpd_kpa,et0,rainfall_7d,rainfall_30d,temperature_7d,water_balance_30d,precipitation_lag1,doy_sin,doy_cos,crop_age,kc,latitude,longitude,field_capacity,wilting_point,root_depth_m,taw_mm,target,prediction
marrakech,2022-01-20,11.13,18.03,5.92,0.0,48.8,1.58,12.57,12.11,0.6779396532460831,1.9549511529402903,16.349999999999984,31.79,11.16,-29.435138686422395,0.0,0.3373010691361842,0.9413968285264122,66,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6306442033741436,0.3219822068854351
meknes,2022-01-20,12.29,21.05,7.15,0.0,52.52,1.36,14.21,13.9,0.6787791338654257,2.036699681824355,0.1100000000000319,24.4,12.585714285714284,-30.759656464390112,0.04,0.3373010691361842,0.9413968285264122,66,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.4769895097561459,0.34223789696073526
settat,2022-01-20,12.33,21.82,6.77,0.02,58.49,1.58,13.02,15.05,0.5949947710441146,2.1804833692492886,0.1699999999999998,19.44000000000002,12.537142857142856,-39.78753070301517,0.03,0.3373010691361842,0.9413968285264122,66,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.6974404933603777,0.5595515779509007
marrakech,2022-01-21,12.82,19.58,7.75,0.0,44.23,1.43,13.8,11.829999999999998,0.825522229078739,2.057689588704134,0.1099999999999857,29.25,11.28,-32.28025949941122,0.0,0.3534446712740877,0.9354554315134164,67,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6612670963095691,0.4536406419997708
meknes,2022-01-21,11.97,19.91,7.05,0.0,53.32,1.56,14.9,12.86,0.653422789958102,1.9512947934968743,0.1100000000000319,18.009999999999998,12.448571428571428,-37.64907817884357,0.0,0.3534446712740877,0.9354554315134164,67,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.5435467661604848,0.3916097252275125
settat,2022-01-21,12.22,21.05,7.18,0.0,57.24,1.4,14.12,13.87,0.6084921270141912,2.0992065328357388,0.1699999999999998,16.49000000000002,12.265714285714283,-43.32420214092852,0.02,0.3534446712740877,0.9354554315134164,67,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.7305779994418082,0.5392476526813068
marrakech,2022-01-22,14.94,21.96,9.36,0.04,45.43,3.56,10.45,12.6,0.9270187326816536,2.284911776284413,0.0399999999999857,29.29,11.814285714285711,-32.508594756196544,0.0,0.3694836834473831,0.9292372181882051,68,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6809675574846785,0.518570843659177
meknes,2022-01-22,14.89,25.16,6.69,0.05,46.77,1.83,12.57,18.47,0.9013471116512842,2.585588481366336,0.1600000000000319,16.2,12.821428571428571,-40.42462048615827,0.0,0.3694836834473831,0.9292372181882051,68,1.15,33.89,-5.55,0.3,0.15,1.0,150.0,0.5417797172559486,0.5466760473471302
settat,2022-01-22,15.57,25.04,8.77,0.0,48.27,2.17,11.26,16.27,0.9150744290537784,2.5441129222267285,0.1699999999999998,16.39000000000002,12.674285714285714,-44.16970114603236,0.0,0.3694836834473831,0.9292372181882051,68,1.15,33.0,-7.62,0.28,0.14,1.0,140.0,0.7328948103744425,0.6189538583188314
marrakech,2022-01-23,15.2,23.09,10.75,0.0,47.32,3.15,13.3,12.34,0.9100095247475454,2.293793017514248,0.0399999999999857,29.19,12.331428571428573,-32.92824531248818,0.04,0.3854133594543256,0.9227440286201428,69,1.15,31.63,-7.99,0.25,0.12,1.0,130.0,0.6831438770127899,0.5687383842699962
