,temperature,temperature_max,temperature_min,precipitation,humidity,wind_speed,solar_radiation,temperature_range,vpd_kpa,et0,rainfall_7d,rainfall_30d,temperature_7d,water_balance_30d,precipitation_lag1,doy_sin,doy_cos,crop_age,kc,latitude,longitude,field_capacity,wilting_point,root_depth_m,taw_mm,target
rainfall_7d,-0.24447808688631745,-0.3362860533556381,-0.1348697841187879,0.45437192385453395,0.35672630025484353,0.23176976825907744,-0.22997508914806605,-0.35103884957977904,-0.3330917333479751,-0.22259812132194143,1.0,0.5117764950898529,-0.22124378588128255,0.48080702643306694,0.5438158217527694,-0.05934533953910418,0.07910181080367631,-0.086666380032326,0.0037089967801252105,0.1642025564441402,0.14178450181832036,0.1641698096842982,0.1640984052870901,,0.16248717291224135,-0.3528735831968599
rainfall_30d,-0.19217787777474052,-0.25847876084227706,-0.09790739996962873,0.22262068845311167,0.38554955812237784,0.11788942180083117,-0.17338623467484393,-0.2751714770151673,-0.35206874400858584,-0.18696056880782924,0.5117764950898529,1.0,-0.22265157598512975,0.919771886916082,0.256851087629436,-0.030895484206677214,0.06633880725294358,-0.06612577122830973,0.033535717288185274,0.29708266536070355,0.2582395685200711,0.29704846842748694,0.2966525057159804,,0.29441139777882747,-0.5261583775525667
temperature_7d,0.8243908481763512,0.7010789627988693,0.8010172267170262,-0.0544658652342681,-0.25422082364523935,0.10324714386018742,0.49435922010409555,0.2484634442723187,0.5390414088991089,0.7008016909944635,-0.22124378588128255,-0.22265157598512975,1.0,-0.4950974362782561,-0.08394341710965271,0.2666631996925537,-0.6685851788996766,0.4881964743999653,-0.39093421294451997,0.052100852434851595,0.042015348779365386,0.05204708875504669,0.05248634436961741,,0.05080808563771524,0.5228933046297892
water_balance_30d,-0.43654082689495644,-0.45396345285961126,-0.320931490547752,0.21085910042005301,0.3944371143834838,0.029438079834733455,-0.44013473589166385,-0.34475541219019534,-0.46629616622208286,-0.5102276289411815,0.48080702643306694,0.919771886916082,-0.4950974362782561,1.0,0.24093291467157404,-0.2523249776305231,0.4383113153824727,-0.3798745359441739,0.14326814775296604,0.28855599298220186,0.25121054702127726,0.2885283635029579,0.2880842767257218,,0.2860577899015746,-0.679558876217181
precipitation_lag1,-0.18913324728488612,-0.288517678050322,-0.07529279737251779,0.32737004656941143,0.26773207852992953,0.18964602035754521,-0.18320756020863335,-0.3387581755976489,-0.24042026760649934,-0.17777835556817329,0.5438158217527694,0.256851087629436,-0.08394341710965271,0.24093291467157404,1.0,-0.037751104439963525,0.041788879191995615,-0.04977840432384339,-0.006130846925433672,0.08749237522032051,0.07523259370084533,0.08747033414132138,0.08748119693423685,,0.08649911130943538,-0.19444908341204561
doy_sin,0.2852312765129996,0.28097699727337644,0.163131138809145,-0.041155975291275765,0.0030675987110123136,0.11275640463585894,0.6401556851620391,0.2463991598523926,0.1110641611293005,0.651184090948956,-0.05934533953910418,-0.030895484206677214,0.2666631996925537,-0.2523249776305231,-0.037751104439963525,1.0,-0.6887856351799596,0.9200210317936943,0.5763778108052598,2.3145670887450826e-15,1.1180072904608137e-17,1.7693252469752548e-15,-1.2893680346169093e-15,,-7.808031410101189e-18,0.4218154652294691
doy_cos,-0.6164491551220723,-0.5155704592814857,-0.5340184289459081,0.04355508606367623,0.04762289193169636,-0.2028134696222732,-0.7601384709648942,-0.2339030266185097,-0.2955394965790279,-0.8788652124106936,0.07910181080367631,0.06633880725294358,-0.6685851788996766,0.4383113153824727,0.041788879191995615,-0.6887856351799596,1.0,-0.9050362509826347,0.1761875773285914,-4.720759948897084e-15,2.9528399747054685e-16,-3.2970179423128466e-16,8.034012446890339e-16,,5.388369711014883e-18,-0.4861945530078116
crop_age,0.4720360959138129,0.42069806995917763,0.3600463598819304,-0.05308026789385805,-0.015076808606307732,0.1628029936936661,0.7504351922895813,0.2612549132428042,0.20790498072588182,0.8224587431435864,-0.086666380032326,-0.06612577122830973,0.4881964743999653,-0.3798745359441739,-0.04977840432384339,0.9200210317936943,-0.9050362509826347,1.0,0.22880740068375585,3.4394390813526782e-15,-1.4885930869424762e-16,1.21520928301005e-15,-1.1301148279278516e-15,,-7.658590746146614e-18,0.47905458152818314
kc,-0.3060385191482911,-0.19917841817713214,-0.381567341986126,-0.008334230733238114,0.03896628218337974,-0.07127492518280731,0.021309057627563983,0.07260245751679652,-0.16476679746283235,-0.09764604575854341,0.0037089967801252105,0.033535717288185274,-0.39093421294451997,0.14326814775296604,-0.006130846925433672,0.5763778108052598,0.1761875773285914,0.22880740068375585,1.0,-1.8455301963785614e-15,3.572556515967196e-16,2.0303213549344488e-15,-7.577123172147003e-16,,2.215021960039269e-19,0.043874280701152346
latitude,0.043965042149275976,-0.03515568792492181,0.14289266089979216,0.08765993526898354,0.3809249651595401,0.08791026111441785,-0.13870944523425194,-0.1826752458047507,-0.2598195086450874,-0.08117443376207847,0.1642025564441402,0.29708266536070355,0.052100852434851595,0.28855599298220186,0.08749237522032051,2.3145670887450826e-15,-4.720759948897084e-15,3.4394390813526782e-15,-1.8455301963785614e-15,1.0,0.8754354097215528,0.9999751275032631,0.9976812978341361,,0.9925655284238993,-0.35869095226704245
